"True, predicted-->.",benign,malignant,isolated,white,recall
benign,31,591,3366,1291,0.005872324303845425
malignant,0,6810,14868,3366,0.27192141830378536
isolated,0,7214,14186,2241,0.6000592191531661
white,0,710,32316,3754158,0.9912795364576952
precision,1.0,0.4443719412724307,0.21913618388531883,0.9981659406294402
